"autor_id";"apellidos";"fecha_nacimiento";"nombre"
1;"";"1873-06-08";"Azorin"
2;"Ganivet";"1865-12-13";"Ángel"
3;"Machado";"1875-07-26";"Antonio"
4;"Arniches";"1866-10-11";"Carlos"
5;"Bayo";"1859-04-16";"Ciro"
6;"Benavente";"1866-08-12";"Jacinto"
7;"Gabriel y Galán";"1870-06-28";"Jose María"
8;"Machado";"1874-08-29";"Manuel"
9;"de Unamuno";"1864-09-29";"Migel"
10;"Baroja";"1872-12-28";"Pío"
11;"de Maeztu";"1875-05-04";"Ramiro"
12;"Menéndez Pidal";"1869-03-13";"Ramón"
13;"del Valle-Inclán";"1866-10-28";"Ramón María"
14;"Blasco Ibáñez";"1867-01-29";"Vicente"
15;"Pazurita";"2002-02-06";"juan"
16;"Pazurita";"2002-02-06";"juan"
